SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,FTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,328.6677505970001,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.5057748008488385,120,66,3.337779998779297,35.952039991816946
192.168.29.8,328.6681137084961,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,3.3381431102752686,16.176658164768458
192.168.29.8,328.6755256652832,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,3.345555067062378,16.14081936108008
192.168.29.8,335.77316665649414,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,10.443196058273315,6.319904331175842
192.168.29.8,335.7998516559601,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,10.469881057739258,5.1576517156404185
192.168.29.8,335.7998516559601,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,107,1,4.643936764858604,121,67,10.469881057739258,11.556960325786862
192.168.29.8,335.7998516559601,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,10.469881057739258,5.1576517156404185
192.168.29.8,335.81590151786804,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,10.485930919647217,5.149757366684688
192.168.29.8,342.8010096549988,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,17.471039056777954,3.7776802962612037
192.168.29.8,342.8055555820465,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,17.475584983825684,3.0900253153172867
192.168.29.8,342.8055555820465,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.5627206353914715,120,66,17.475584983825684,6.866722922927304
192.168.29.8,342.8055555820465,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,17.475584983825684,3.0900253153172867
192.168.29.8,342.81428050994873,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,17.484309911727905,3.088483347219701
192.168.29.8,349.81143951416016,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,24.48146891593933,2.6959166636046454
192.168.29.8,349.82325863838196,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,24.493288040161133,2.204685622912584
192.168.29.8,349.82325863838196,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.57380851290449,120,66,24.493288040161133,4.899301384250188
192.168.29.8,349.82355260849,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,24.493582010269165,2.204659162443451
192.168.29.8,349.8366746902466,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,24.506704092025757,2.2034786806591047
192.168.29.8,356.86577248573303,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,31.535801887512207,2.0928594184927065
192.168.29.8,356.87161564826965,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,31.541645050048828,1.712022309372745
192.168.29.8,356.8717505931854,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.568635173657581,120,66,31.5417799949646,3.804477744095516
192.168.29.8,356.87279868125916,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,31.54282808303833,1.7119580989327228
192.168.29.8,356.9040524959564,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,31.574081897735596,1.7102635058368152
192.168.29.8,364.0338497161865,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,38.7038791179657,1.7052554292772142
192.168.29.8,364.06091952323914,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,38.73094892501831,1.394233849125205
192.168.29.8,364.06128668785095,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,105,1,4.630006375120488,119,65,38.73131608963013,3.0724491707076513
192.168.29.8,364.0614266395569,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,38.73145604133606,1.3942155942283352
192.168.29.8,364.0708155632019,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,38.74084496498108,1.3938777032047724
192.168.29.8,371.2015964984894,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,45.871625900268555,1.4387979214753233
192.168.29.8,371.20464158058167,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,45.87467098236084,1.177120158981923
192.168.29.8,371.20514965057373,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,107,1,4.5842352723212905,121,67,45.875179052352905,2.6375918851872906
192.168.29.8,371.2057075500488,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,45.875736951828,1.1770928073962694
192.168.29.8,371.4059376716614,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,46.07596707344055,1.171977571603203
192.168.29.8,378.36981749534607,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,53.039846897125244,1.2443474832801071
192.168.29.8,378.38826870918274,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,53.058298110961914,1.0177484375218497
192.168.29.8,378.3885815143585,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,105,1,4.4792330049700215,119,65,53.058610916137695,2.242802778762652
192.168.29.8,378.38899755477905,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,53.05902695655823,1.0177344572152103
192.168.29.8,378.39786648750305,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,53.06789588928223,1.0175643690992096
192.168.29.8,385.4348855018616,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,0.10491490364074707,629.0812621436444
192.168.29.8,385.43997859954834,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,0.11000800132751465,490.87338510252334
192.168.29.8,385.4404456615448,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.602598430024037,120,66,0.11047506332397461,1086.2179788763094
192.168.29.8,385.44111371040344,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,0.11114311218261719,485.86006761510873
192.168.29.8,385.45757961273193,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,0.1276090145111084,423.167596794655
192.168.29.8,392.501761674881,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,7.171791076660156,9.202722066847443
192.168.29.8,392.5083076953888,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,7.178337097167969,7.522633622389276
192.168.29.8,392.5083076953888,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,107,1,4.5773040268480045,121,67,7.178337097167969,16.85627163535375
192.168.29.8,392.50901651382446,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,7.179045915603638,7.521890880044539
192.168.29.8,392.51799964904785,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,7.188029050827026,7.512490505834416
192.168.29.8,399.55522871017456,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,14.225258111953735,4.639634618969692
192.168.29.8,399.5624465942383,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,14.232475996017456,3.794139545017348
192.168.29.8,399.5624465942383,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.537940756249053,120,66,14.232475996017456,8.431421211149663
192.168.29.8,399.5624465942383,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,14.232475996017456,3.794139545017348
192.168.29.8,399.5817975997925,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,14.251827001571655,3.788987895660326
192.168.29.8,406.63314151763916,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,21.303170919418335,3.0981303323177802
192.168.29.8,406.6370635032654,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,21.307092905044556,2.534367322686956
192.168.29.8,406.63776659965515,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.583733089147727,120,66,21.307796001434326,5.6317415462360465
192.168.29.8,406.6383135318756,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,21.308342933654785,2.5342186470404235
192.168.29.8,406.6538345813751,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,21.323863983154297,2.532374059535346
192.168.29.8,413.6982536315918,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,28.36828303337097,2.3265419314366342
192.168.29.8,413.7041115760803,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,28.374140977859497,1.9031413159657065
192.168.29.8,413.7041115760803,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.566380861454899,120,66,28.374140977859497,4.229202924368237
192.168.29.8,413.70488357543945,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,28.374912977218628,1.903089536991884
192.168.29.8,413.7139275074005,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,28.383956909179688,1.9024831588063678
192.168.29.8,420.7633376121521,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,35.433367013931274,1.862651098724287
192.168.29.8,420.7786285877228,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,35.44865798950195,1.5233298822198569
192.168.29.8,420.77928161621094,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,106,1,4.563354635087933,120,66,35.44931101799011,3.3851151560915076
192.168.29.8,420.77928161621094,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,35.44931101799011,1.5233018202411783
192.168.29.8,420.7879567146301,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,35.4579861164093,1.5229291314717335
192.168.29.8,427.8312475681305,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,42.50127696990967,1.552894517657131
192.168.29.8,427.83560061454773,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,42.505630016326904,1.2704199415291098
