SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,1207.607351064682,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,38.26485204696655,1.7248204675923253
192.168.29.8,1208.1646509170532,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,38.82215189933777,1.7000603204874336
192.168.29.8,1208.8324449062347,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,39.48994588851929,1.67131148232816
192.168.29.8,1209.446440935135,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,40.103941917419434,1.6457235085744135
192.168.29.8,1215.5904650688171,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,46.247966051101685,1.4270897865448462
192.168.29.8,1216.204852104187,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,46.86235308647156,1.4083799820767684
192.168.29.8,1216.8193171024323,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,47.4768180847168,1.390152134505534
192.168.29.8,1217.4338130950928,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,48.09131407737732,1.3723891988854413
192.168.29.8,1218.051472902298,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,48.70897388458252,1.354986458068058
192.168.29.8,1224.177412033081,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,54.8349130153656,1.2036127417856168
192.168.29.8,1224.8071279525757,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,55.46462893486023,1.1899475623917526
192.168.29.8,1225.4225070476532,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,56.080008029937744,1.1768899884031145
192.168.29.8,1226.03546500206,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,56.69296598434448,1.164165586577806
192.168.29.8,1226.650927066803,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,57.308428049087524,1.151663066791288
192.168.29.8,1232.7964630126953,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,3.4539639949798584,19.108479444466496
192.168.29.8,1233.4081950187683,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,4.0656960010528564,16.23338291473553
192.168.29.8,1234.022901058197,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,4.680402040481567,14.101352710548184
192.168.29.8,1234.6385769844055,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,5.2960779666900635,12.462052185619276
